ticker,cik,urls
HPE,0001645590,https://www.sec.gov/Archives/edgar/data/1645590/000164559022000071/0001645590-22-000071-index.htm
HPE,0001645590,https://www.sec.gov/Archives/edgar/data/1645590/000164559021000068/0001645590-21-000068-index.htm
HPE,0001645590,https://www.sec.gov/Archives/edgar/data/1645590/000164559020000056/0001645590-20-000056-index.htm
HPE,0001645590,https://www.sec.gov/Archives/edgar/data/1645590/000164559019000044/0001645590-19-000044-index.htm
INTC,0000050863,https://www.sec.gov/Archives/edgar/data/50863/000005086324000010/0000050863-24-000010-index.htm
INTC,0000050863,https://www.sec.gov/Archives/edgar/data/50863/000005086323000006/0000050863-23-000006-index.htm
INTC,0000050863,https://www.sec.gov/Archives/edgar/data/50863/000005086322000007/0000050863-22-000007-index.htm
INTC,0000050863,https://www.sec.gov/Archives/edgar/data/50863/000005086321000010/0000050863-21-000010-index.htm
INTC,0000050863,https://www.sec.gov/Archives/edgar/data/50863/000005086320000011/0000050863-20-000011-index.htm
INTC,0000050863,https://www.sec.gov/Archives/edgar/data/50863/000005086319000007/0000050863-19-000007-index.htm
INTU,0000896878,https://www.sec.gov/Archives/edgar/data/896878/000089687823000034/0000896878-23-000034-index.htm
INTU,0000896878,https://www.sec.gov/Archives/edgar/data/896878/000089687822000028/0000896878-22-000028-index.htm
INTU,0000896878,https://www.sec.gov/Archives/edgar/data/896878/000089687821000233/0000896878-21-000233-index.htm
INTU,0000896878,https://www.sec.gov/Archives/edgar/data/896878/000089687820000148/0000896878-20-000148-index.htm
INTU,0000896878,https://www.sec.gov/Archives/edgar/data/896878/000089687819000132/0000896878-19-000132-index.htm
JNJ,0000200406,https://www.sec.gov/Archives/edgar/data/200406/000020040624000013/0000200406-24-000013-index.htm
JNJ,0000200406,https://www.sec.gov/Archives/edgar/data/200406/000020040623000016/0000200406-23-000016-index.htm
JNJ,0000200406,https://www.sec.gov/Archives/edgar/data/200406/000020040622000022/0000200406-22-000022-index.htm
JNJ,0000200406,https://www.sec.gov/Archives/edgar/data/200406/000020040621000008/0000200406-21-000008-index.htm
JNJ,0000200406,https://www.sec.gov/Archives/edgar/data/200406/000020040620000010/0000200406-20-000010-index.htm
JNJ,0000200406,https://www.sec.gov/Archives/edgar/data/200406/000020040619000009/0000200406-19-000009-index.htm
"JPM', 'JPM-PK', 'JPM-PJ', 'JPM-PM', 'AMJB', 'JPM-PL', 'JPM-PD', 'AMJ', 'JPM-PC",0000019617,https://www.sec.gov/Archives/edgar/data/19617/000001961724000225/0000019617-24-000225-index.htm
"JPM', 'JPM-PK', 'JPM-PJ', 'JPM-PM', 'AMJB', 'JPM-PL', 'JPM-PD', 'AMJ', 'JPM-PC",0000019617,https://www.sec.gov/Archives/edgar/data/19617/000001961723000231/0000019617-23-000231-index.htm
"JPM', 'JPM-PK', 'JPM-PJ', 'JPM-PM', 'AMJB', 'JPM-PL', 'JPM-PD', 'AMJ', 'JPM-PC",0000019617,https://www.sec.gov/Archives/edgar/data/19617/000001961722000272/0000019617-22-000272-index.htm
"JPM', 'JPM-PK', 'JPM-PJ', 'JPM-PM', 'AMJB', 'JPM-PL', 'JPM-PD', 'AMJ', 'JPM-PC",0000019617,https://www.sec.gov/Archives/edgar/data/19617/000001961721000236/0000019617-21-000236-index.htm
"JPM', 'JPM-PK', 'JPM-PJ', 'JPM-PM', 'AMJB', 'JPM-PL', 'JPM-PD', 'AMJ', 'JPM-PC",0000019617,https://www.sec.gov/Archives/edgar/data/19617/000001961720000257/0000019617-20-000257-index.htm
"JPM', 'JPM-PK', 'JPM-PJ', 'JPM-PM', 'AMJB', 'JPM-PL', 'JPM-PD', 'AMJ', 'JPM-PC",0000019617,https://www.sec.gov/Archives/edgar/data/19617/000001961719000054/0000019617-19-000054-index.htm
KFY,0000056679,https://www.sec.gov/Archives/edgar/data/56679/000162828023023772/0001628280-23-023772-index.htm
KFY,0000056679,https://www.sec.gov/Archives/edgar/data/56679/000156459022024447/0001564590-22-024447-index.htm
KFY,0000056679,https://www.sec.gov/Archives/edgar/data/56679/000156459021034775/0001564590-21-034775-index.htm
KFY,0000056679,https://www.sec.gov/Archives/edgar/data/56679/000156459020032398/0001564590-20-032398-index.htm
KFY,0000056679,https://www.sec.gov/Archives/edgar/data/56679/000156459019024039/0001564590-19-024039-index.htm
KO,0000021344,https://www.sec.gov/Archives/edgar/data/21344/000002134424000009/0000021344-24-000009-index.htm
KO,0000021344,https://www.sec.gov/Archives/edgar/data/21344/000002134423000011/0000021344-23-000011-index.htm
KO,0000021344,https://www.sec.gov/Archives/edgar/data/21344/000002134422000009/0000021344-22-000009-index.htm
KO,0000021344,https://www.sec.gov/Archives/edgar/data/21344/000002134421000008/0000021344-21-000008-index.htm
KO,0000021344,https://www.sec.gov/Archives/edgar/data/21344/000002134420000006/0000021344-20-000006-index.htm
KO,0000021344,https://www.sec.gov/Archives/edgar/data/21344/000002134419000014/0000021344-19-000014-index.htm
MCD,0000063908,https://www.sec.gov/Archives/edgar/data/63908/000006390824000072/0000063908-24-000072-index.htm
MCD,0000063908,https://www.sec.gov/Archives/edgar/data/63908/000006390823000012/0000063908-23-000012-index.htm
MCD,0000063908,https://www.sec.gov/Archives/edgar/data/63908/000006390822000011/0000063908-22-000011-index.htm
MCD,0000063908,https://www.sec.gov/Archives/edgar/data/63908/000006390821000013/0000063908-21-000013-index.htm
MCD,0000063908,https://www.sec.gov/Archives/edgar/data/63908/000006390820000022/0000063908-20-000022-index.htm
MCD,0000063908,https://www.sec.gov/Archives/edgar/data/63908/000006390819000010/0000063908-19-000010-index.htm
META,0001326801,https://www.sec.gov/Archives/edgar/data/1326801/000132680124000012/0001326801-24-000012-index.htm
META,0001326801,https://www.sec.gov/Archives/edgar/data/1326801/000132680123000013/0001326801-23-000013-index.htm
META,0001326801,https://www.sec.gov/Archives/edgar/data/1326801/000132680122000018/0001326801-22-000018-index.htm
META,0001326801,https://www.sec.gov/Archives/edgar/data/1326801/000132680121000014/0001326801-21-000014-index.htm
META,0001326801,https://www.sec.gov/Archives/edgar/data/1326801/000132680120000013/0001326801-20-000013-index.htm
META,0001326801,https://www.sec.gov/Archives/edgar/data/1326801/000132680119000009/0001326801-19-000009-index.htm
MMM,0000066740,https://www.sec.gov/Archives/edgar/data/66740/000006674024000016/0000066740-24-000016-index.htm
MMM,0000066740,https://www.sec.gov/Archives/edgar/data/66740/000006674023000014/0000066740-23-000014-index.htm
MMM,0000066740,https://www.sec.gov/Archives/edgar/data/66740/000006674022000010/0000066740-22-000010-index.htm
MMM,0000066740,https://www.sec.gov/Archives/edgar/data/66740/000155837021000737/0001558370-21-000737-index.htm
MMM,0000066740,https://www.sec.gov/Archives/edgar/data/66740/000155837020000581/0001558370-20-000581-index.htm
MMM,0000066740,https://www.sec.gov/Archives/edgar/data/66740/000155837019000470/0001558370-19-000470-index.htm
MRK,0000310158,https://www.sec.gov/Archives/edgar/data/310158/000162828024006850/0001628280-24-006850-index.htm
MRK,0000310158,https://www.sec.gov/Archives/edgar/data/310158/000162828023005061/0001628280-23-005061-index.htm
MRK,0000310158,https://www.sec.gov/Archives/edgar/data/310158/000031015822000003/0000310158-22-000003-index.htm
MRK,0000310158,https://www.sec.gov/Archives/edgar/data/310158/000031015821000004/0000310158-21-000004-index.htm
MRK,0000310158,https://www.sec.gov/Archives/edgar/data/310158/000031015820000005/0000310158-20-000005-index.htm
MRK,0000310158,https://www.sec.gov/Archives/edgar/data/310158/000031015819000014/0000310158-19-000014-index.htm
MSFT,0000789019,https://www.sec.gov/Archives/edgar/data/789019/000095017023035122/0000950170-23-035122-index.htm
MSFT,0000789019,https://www.sec.gov/Archives/edgar/data/789019/000156459022026876/0001564590-22-026876-index.htm
MSFT,0000789019,https://www.sec.gov/Archives/edgar/data/789019/000156459021039151/0001564590-21-039151-index.htm
MSFT,0000789019,https://www.sec.gov/Archives/edgar/data/789019/000156459020034944/0001564590-20-034944-index.htm
MSFT,0000789019,https://www.sec.gov/Archives/edgar/data/789019/000156459019027952/0001564590-19-027952-index.htm
MSI,0000068505,https://www.sec.gov/Archives/edgar/data/68505/000006850524000008/0000068505-24-000008-index.htm
MSI,0000068505,https://www.sec.gov/Archives/edgar/data/68505/000006850523000015/0000068505-23-000015-index.htm
MSI,0000068505,https://www.sec.gov/Archives/edgar/data/68505/000006850522000010/0000068505-22-000010-index.htm
MSI,0000068505,https://www.sec.gov/Archives/edgar/data/68505/000006850521000008/0000068505-21-000008-index.htm
MSI,0000068505,https://www.sec.gov/Archives/edgar/data/68505/000006850520000006/0000068505-20-000006-index.htm
MSI,0000068505,https://www.sec.gov/Archives/edgar/data/68505/000006850519000006/0000068505-19-000006-index.htm
MU,0000723125,https://www.sec.gov/Archives/edgar/data/723125/000072312523000054/0000723125-23-000054-index.htm
MU,0000723125,https://www.sec.gov/Archives/edgar/data/723125/000072312522000048/0000723125-22-000048-index.htm
MU,0000723125,https://www.sec.gov/Archives/edgar/data/723125/000072312521000065/0000723125-21-000065-index.htm
MU,0000723125,https://www.sec.gov/Archives/edgar/data/723125/000072312520000082/0000723125-20-000082-index.htm
MU,0000723125,https://www.sec.gov/Archives/edgar/data/723125/000072312519000094/0000723125-19-000094-index.htm
NKE,0000320187,https://www.sec.gov/Archives/edgar/data/320187/000032018723000039/0000320187-23-000039-index.htm
NKE,0000320187,https://www.sec.gov/Archives/edgar/data/320187/000032018722000038/0000320187-22-000038-index.htm
NKE,0000320187,https://www.sec.gov/Archives/edgar/data/320187/000032018721000028/0000320187-21-000028-index.htm
NKE,0000320187,https://www.sec.gov/Archives/edgar/data/320187/000032018720000047/0000320187-20-000047-index.htm
NKE,0000320187,https://www.sec.gov/Archives/edgar/data/320187/000032018719000051/0000320187-19-000051-index.htm
NOW,0001373715,https://www.sec.gov/Archives/edgar/data/1373715/000137371524000030/0001373715-24-000030-index.htm
NOW,0001373715,https://www.sec.gov/Archives/edgar/data/1373715/000137371523000035/0001373715-23-000035-index.htm
NOW,0001373715,https://www.sec.gov/Archives/edgar/data/1373715/000137371522000024/0001373715-22-000024-index.htm
NOW,0001373715,https://www.sec.gov/Archives/edgar/data/1373715/000137371521000061/0001373715-21-000061-index.htm
NOW,0001373715,https://www.sec.gov/Archives/edgar/data/1373715/000137371520000072/0001373715-20-000072-index.htm
NOW,0001373715,https://www.sec.gov/Archives/edgar/data/1373715/000137371519000070/0001373715-19-000070-index.htm
NVDA,0001045810,https://www.sec.gov/Archives/edgar/data/1045810/000104581024000029/0001045810-24-000029-index.htm
NVDA,0001045810,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000017/0001045810-23-000017-index.htm
NVDA,0001045810,https://www.sec.gov/Archives/edgar/data/1045810/000104581022000036/0001045810-22-000036-index.htm
NVDA,0001045810,https://www.sec.gov/Archives/edgar/data/1045810/000104581021000010/0001045810-21-000010-index.htm
NVDA,0001045810,https://www.sec.gov/Archives/edgar/data/1045810/000104581020000010/0001045810-20-000010-index.htm
NVDA,0001045810,https://www.sec.gov/Archives/edgar/data/1045810/000104581019000023/0001045810-19-000023-index.htm
PGR,0000080661,https://www.sec.gov/Archives/edgar/data/80661/000008066124000007/0000080661-24-000007-index.htm
PGR,0000080661,https://www.sec.gov/Archives/edgar/data/80661/000008066123000006/0000080661-23-000006-index.htm
PGR,0000080661,https://www.sec.gov/Archives/edgar/data/80661/000008066122000046/0000080661-22-000046-index.htm
PGR,0000080661,https://www.sec.gov/Archives/edgar/data/80661/000008066121000014/0000080661-21-000014-index.htm
PGR,0000080661,https://www.sec.gov/Archives/edgar/data/80661/000008066120000006/0000080661-20-000006-index.htm
PGR,0000080661,https://www.sec.gov/Archives/edgar/data/80661/000008066119000008/0000080661-19-000008-index.htm
RXT,0001810019,https://www.sec.gov/Archives/edgar/data/1810019/000181001923000034/0001810019-23-000034-index.htm
RXT,0001810019,https://www.sec.gov/Archives/edgar/data/1810019/000181001922000036/0001810019-22-000036-index.htm
RXT,0001810019,https://www.sec.gov/Archives/edgar/data/1810019/000181001921000038/0001810019-21-000038-index.htm
SNAP,0001564408,https://www.sec.gov/Archives/edgar/data/1564408/000156440824000019/0001564408-24-000019-index.htm
SNAP,0001564408,https://www.sec.gov/Archives/edgar/data/1564408/000156440823000013/0001564408-23-000013-index.htm
SNAP,0001564408,https://www.sec.gov/Archives/edgar/data/1564408/000156459022003868/0001564590-22-003868-index.htm
SNAP,0001564408,https://www.sec.gov/Archives/edgar/data/1564408/000156459021004377/0001564590-21-004377-index.htm
SNAP,0001564408,https://www.sec.gov/Archives/edgar/data/1564408/000156459020003323/0001564590-20-003323-index.htm
SNAP,0001564408,https://www.sec.gov/Archives/edgar/data/1564408/000156459019002053/0001564590-19-002053-index.htm
TSLA,0001318605,https://www.sec.gov/Archives/edgar/data/1318605/000162828024002390/0001628280-24-002390-index.htm
TSLA,0001318605,https://www.sec.gov/Archives/edgar/data/1318605/000095017023001409/0000950170-23-001409-index.htm
TSLA,0001318605,https://www.sec.gov/Archives/edgar/data/1318605/000156459022016871/0001564590-22-016871-index.htm
TSLA,0001318605,https://www.sec.gov/Archives/edgar/data/1318605/000095017022000796/0000950170-22-000796-index.htm
TSLA,0001318605,https://www.sec.gov/Archives/edgar/data/1318605/000156459021022604/0001564590-21-022604-index.htm
TSLA,0001318605,https://www.sec.gov/Archives/edgar/data/1318605/000156459021004599/0001564590-21-004599-index.htm
TSLA,0001318605,https://www.sec.gov/Archives/edgar/data/1318605/000156459020018984/0001564590-20-018984-index.htm
TSLA,0001318605,https://www.sec.gov/Archives/edgar/data/1318605/000156459020004475/0001564590-20-004475-index.htm
TSLA,0001318605,https://www.sec.gov/Archives/edgar/data/1318605/000156459019003165/0001564590-19-003165-index.htm
UNH,0000731766,https://www.sec.gov/Archives/edgar/data/731766/000073176623000008/0000731766-23-000008-index.htm
UNH,0000731766,https://www.sec.gov/Archives/edgar/data/731766/000073176622000008/0000731766-22-000008-index.htm
UNH,0000731766,https://www.sec.gov/Archives/edgar/data/731766/000073176621000013/0000731766-21-000013-index.htm
UNH,0000731766,https://www.sec.gov/Archives/edgar/data/731766/000073176620000006/0000731766-20-000006-index.htm
UNH,0000731766,https://www.sec.gov/Archives/edgar/data/731766/000073176619000005/0000731766-19-000005-index.htm
V,0001403161,https://www.sec.gov/Archives/edgar/data/1403161/000140316123000099/0001403161-23-000099-index.htm
V,0001403161,https://www.sec.gov/Archives/edgar/data/1403161/000140316122000081/0001403161-22-000081-index.htm
V,0001403161,https://www.sec.gov/Archives/edgar/data/1403161/000140316121000060/0001403161-21-000060-index.htm
V,0001403161,https://www.sec.gov/Archives/edgar/data/1403161/000140316120000070/0001403161-20-000070-index.htm
V,0001403161,https://www.sec.gov/Archives/edgar/data/1403161/000140316119000050/0001403161-19-000050-index.htm
VEEV,0001393052,https://www.sec.gov/Archives/edgar/data/1393052/000139305223000025/0001393052-23-000025-index.htm
VEEV,0001393052,https://www.sec.gov/Archives/edgar/data/1393052/000139305222000017/0001393052-22-000017-index.htm
VEEV,0001393052,https://www.sec.gov/Archives/edgar/data/1393052/000139305221000015/0001393052-21-000015-index.htm
VEEV,0001393052,https://www.sec.gov/Archives/edgar/data/1393052/000162828020004385/0001628280-20-004385-index.htm
VEEV,0001393052,https://www.sec.gov/Archives/edgar/data/1393052/000156459019009853/0001564590-19-009853-index.htm
WBA,0001618921,https://www.sec.gov/Archives/edgar/data/1618921/000161892123000106/0001618921-23-000106-index.htm
WBA,0001618921,https://www.sec.gov/Archives/edgar/data/1618921/000161892123000062/0001618921-23-000062-index.htm
WBA,0001618921,https://www.sec.gov/Archives/edgar/data/1618921/000161892122000100/0001618921-22-000100-index.htm
WBA,0001618921,https://www.sec.gov/Archives/edgar/data/1618921/000161892122000064/0001618921-22-000064-index.htm
WBA,0001618921,https://www.sec.gov/Archives/edgar/data/1618921/000161892121000129/0001618921-21-000129-index.htm
WBA,0001618921,https://www.sec.gov/Archives/edgar/data/1618921/000161892121000085/0001618921-21-000085-index.htm
WBA,0001618921,https://www.sec.gov/Archives/edgar/data/1618921/000161892120000082/0001618921-20-000082-index.htm
WBA,0001618921,https://www.sec.gov/Archives/edgar/data/1618921/000161892119000069/0001618921-19-000069-index.htm
